id ;luna;nombre                               ;disponibilidad;tags
1  ;1   ;Frog-Jumping Above the Fog           ;revisit       ;[cap,captures,frog]
2  ;2   ;Frog-Jumping from the Top Deck       ;revisit       ;[cap,captures,frog]
3  ;3   ;Cap Kingdom Timer Challenge 1        ;revisit       ;[cap,timer_challenge]
4  ;4   ;Good Evening - Captain Toad!         ;revisit       ;[cap,captain_toad]
5  ;5   ;Shopping in Bonneton                 ;revisit       ;[cap,shop]
6  ;6   ;Skimming the Poison Tide             ;revisit       ;[cap,captures,moon_shard,paragoomba,sub_area]
7  ;7   ;Slipping Through the Poison Tide     ;revisit       ;[cap,captures,paragoomba,sub_area]
8  ;8   ;Push-Block Peril                     ;revisit       ;[cap,captures,spark_pylon,sub_area]
9  ;9   ;Hidden Among the Push-Blocks         ;revisit       ;[cap,captures,spark_pylon,sub_area]
10 ;10  ;Searching the Frog Pond              ;revisit       ;[cap,captures,frog,moon_shard,sub_area]
11 ;11  ;Secrets of the Frog Pond             ;revisit       ;[cap,captures,frog,sub_area]
12 ;1   ;Our First Power Moon                 ;base          ;[cascade,captures,story_moon]
13 ;2   ;Multi Moon Atop the Falls            ;base          ;[cascade,captures,multi_moon]
14 ;3   ;Chomp Through the Rocks              ;base          ;[cascade,captures,chain_chomp]
15 ;4   ;Behind the Waterfall                 ;base          ;[cascade,8bit]
16 ;5   ;On Top of the Rubble                 ;world_peace   ;[cascade,mario]
17 ;6   ;Treasure of the Waterfall Basin      ;world_peace   ;[cascade,treasure_chest]
18 ;7   ;Above a High Cliff                   ;world_peace   ;[cascade,captures,chain_chomp]
19 ;8   ;Across the Floating Isles            ;world_peace   ;[cascade,mario]
20 ;9   ;Cascade Kingdom Timer Challenge 1    ;world_peace   ;[cascade,timer_challenge]
21 ;10  ;Cascade Kingdom Timer Challenge 2    ;world_peace   ;[cascade,timer_challenge]
22 ;11  ;Good Morning - Captain Toad!         ;world_peace   ;[cascade,captain_toad]
23 ;12  ;Dinosaur Nest: Big Cleanup!          ;world_peace   ;[cascade,captures,sub_area,t_rex]
24 ;13  ;Dinosaur Nest: Running Wild!         ;world_peace   ;[cascade,captures,sub_area,t_rex]
25 ;14  ;Nice Shot with the Chain Chomp!      ;world_peace   ;[cascade,captures,chain_chomp,sub_area]
26 ;15  ;Very Nice Shot with the Chain Chomp! ;world_peace   ;[cascade,captures,chain_chomp,sub_area]
27 ;16  ;Past the Chasm Lifts                 ;world_peace   ;[cascade,hybrid_2d,sub_area]
28 ;17  ;Hidden Chasm Passage                 ;world_peace   ;[cascade,8bit,hybrid_2d,sub_area]
29 ;18  ;Secret Path to Fossil Falls!         ;world_peace   ;[cascade,artistic,painting]
30 ;19  ;A Tourist in the Cascade Kingdom     ;world_peace   ;[cascade,npc]
31 ;20  ;Rolling Rock by the Falls            ;revisit       ;[cascade,shiny_rocks]
32 ;24  ;Shopping in Fossil Falls             ;revisit       ;[cascade,shop]
33 ;1   ;Atop the Highest Tower               ;base          ;[sand,ruins,story_moon]
34 ;2   ;Moon Shards in the Sand              ;base          ;[sand,captures,moon_shard,story_moon]
35 ;3   ;Showdown on the Inverted Pyramid     ;base          ;[sand,multi_moon,pyramid]
